Experiment,group,food,temperature,stage,val,val_li,val_ui,intercept,intercept_li,intercept_ui,p_not_zero,N,diff_val,diff_li,diff_ui,diff_p,replicate_id
ant_dosage_3,wildtype UV-inactivated 20C,UV,20,movement_vs_death,1.042853672,0.905035562,1.180671781,-0.37293618,-3.286167557,2.540295196,0,361,-0.041514029,-0.131196506,0.039334972,0.846,9
ant_dosage_3,wildtype UV-inactivated 20C,UV,20,vigorous_vs_death,0.196153294,-0.09078186,0.483088449,18.68780342,14.48772622,22.88788062,0,361,0.812388381,0.329945913,1.142609501,0,9
ant_dosage_3,0.009283,UV,20,movement_vs_death,0.706323306,0.59503773,0.817608882,4.851920109,4.275262434,5.428577784,0,308,0.294715073,0.200053727,0.397041004,0,9
ant_dosage_3,0.009283,UV,20,vigorous_vs_death,1.206427521,0.643189453,1.76966559,7.543168676,7.133188829,7.953148523,2.69E-05,308,-0.182776193,-0.795620021,0.365866895,0.732,9
daf2_age1_25C,QZ120,Live,25,movement_vs_death,0.866130701,0.782317645,0.949943756,2.670020828,1.600556126,3.739485529,0,898,0.135586207,0.069380604,0.219097441,0,10
daf2_age1_25C,QZ120,Live,25,vigorous_vs_death,0.611116459,0.519383112,0.702849806,7.156501817,6.159086994,8.15391664,0,898,0.396689461,0.269022635,0.526005506,0,10
daf2_age1_25C,wildtype live 25,Live,25,movement_vs_death,0.890507551,0.787681884,0.993333219,1.774929961,1.110748601,2.43911132,0,912,0.108911052,-0.003526427,0.219866944,0.0284,10
daf2_age1_25C,wildtype live 25,Live,25,vigorous_vs_death,0.829243988,0.694180515,0.964307462,3.123199814,2.401561258,3.84483837,0,912,0.172224668,0.054974026,0.303417492,0.0036,10
wt_glp1_arrest_lifespan,wildtype 25C,Live,25,movement_vs_death,0.958121719,0.89045038,1.025793058,1.946228247,1.27826169,2.614194804,0,205,0.040444557,-0.018904609,0.095146611,0.0892,11
wt_glp1_arrest_lifespan,wildtype 25C,Live,25,vigorous_vs_death,1.154235657,1.008547833,1.299923481,3.764565489,2.786599458,4.742531521,0,205,-0.155831543,-0.252487857,-0.043967327,0.9972,11
wt_glp1_arrest_lifespan,glp-1 Fed,Live,25,movement_vs_death,1.017920703,0.971521966,1.06431944,0.305775549,-0.619193277,1.230744375,0,214,-0.017915026,-0.045990447,0.018244038,0.87,11
wt_glp1_arrest_lifespan,glp-1 Fed,Live,25,vigorous_vs_death,0.923632127,0.786247632,1.061016623,5.096465919,2.780510899,7.412420939,0,214,0.071292469,-0.059958252,0.232564179,0.158,11
eat2,wildtype OP50 25C Fed,Live,20,vigorous_vs_death,0.872005735,0.764129146,0.979882324,4.862179952,3.572757675,6.151602228,0,991,0.126906116,0.047008478,0.207762419,0.0015,1
eat2,wildtype OP50 25C Starved,None,20,vigorous_vs_death,0.906628545,0.775466334,1.037790756,4.837270986,2.784631375,6.889910597,0,757,0.094336415,0.012111772,0.170204541,0.0102,1
eat2,eat-2 Fed,Live,20,vigorous_vs_death,1.033078125,0.874070415,1.192085836,4.01359981,1.459608162,6.567591458,0,737,-0.034823082,-0.187170919,0.109352717,0.6753,1
